name
William Beaudine
Charles Rocket
Floyd Westerman
Robert Preston
Joel Hodgson
Percy Kilbride
Gary Sinise
Kevin Pollak
Michael Imperioli
Tony Sirico
Dominic Chianese
Steve Schirripa
Federico Castelluccio
Steve Harvey
Wayne Brady
Bernie Mac
Michael O'Donoghue
Robert Smigel
Craig Kilborn
Barry Manilow
Mark-Paul Gosselaar
DJ Jazzy Jeff
Dar Robinson
Wesley Snipes
Maxie Rosenbloom
William Bendix
Patrick Duffy
Mickey Rourke
Bob Odenkirk
Daniel Stern
Carl \ Alfalfa\Switzer
Billy Laughlin
Wes Bentley
Richard Biggs
Glenn Frey
Matt Salinger
Joel McCrea
Paul Frees
Ned Beatty
Edward Furlong
Danny Tamberelli
Tab Hunter
Reginald Gardiner
Dave Coulier
Larry Storch
Jonathan Taylor Thomas
Matthew Modine
Joseph Jefferson
Garry Marshall
Gale Gordon
John Amos
Sam Sheppard
David Clarke
Clifford Odets
Bobby Pulido
Dom DeLuise
Spike Spencer
Tom Mix
David Carradine
Don Cheadle
Powers Boothe
Jake Lloyd
Fred Thompson
J. D. Cannon
Robert Klein
Chris O'Donnell
Charles Lane
Dave Garroway
Jim Nabors
Jack Jones
Allan Jones
Wayne Newton
Roberts Blossom
Bob Dishy
Jason Mewes
Jason Schwartzman
Philip Seymour Hoffman
Al Martino
John C. Reilly
Tony Martin
Ramon Novarro
Dean Cain
Ryan Merriman
Buddy Rogers
Alan Hale Jr.
William Haines
George Segal
Edward Platt
Bernie Kopell
William Schallert
Richard Deacon
Brandon deWilde
Peter Coyote
Zero Mostel
Lee Strasberg
Jeffrey Jones
Hans Conried
Jean Shepherd
Walter Abel
Savion Glover
Ralph Macchio
Chris Kattan
Flip Wilson
Brad Hall
Jeffrey Tambor
Guy Williams
Chris Cooper
Buck Adams
John Mahoney
Tyrone Power
William Smith
Bobby Short
Dabney Coleman
Robert Loggia
Jerry Orbach
Fernando Lamas
Donnie Wahlberg
Jack Klugman
Zachary Scott
Yaphet Kotto
Nathan Fillion
Larry Fine
Alan Hale Sr.
Jud Taylor
Robert Englund
Desi Arnaz Jr.
Damon Wayans
Ed Asner
Patrick Warburton
Rick Overton
Eric Emerson
Liam Aiken
Shadoe Stevens
Dean Stockwell
Gordon Parks
Greg Kinnear
Robert Forster
David Paymer
Jack Palance
Bruce Davison
Louis Gossett Jr.
Timothy Hutton
Joel Grey
Al Roker
Merv Griffin
David Arquette
James Van Der Beek
Zakes Mokae
Edward Andrews
Gary Owens
Stanley Donen
Daniel Davis
George Dzundza
Jason Patric
Steven Bauer
David Yost
Joey Bishop
Dustin Diamond
James Coco
Alan Tudyk
Mario Lopez
Tom Keene
William Conrad
Charles Drake
Ed Parker
Jack Warden
Bob Uecker
George Kennedy
Jerry Reed
Richard Widmark
Barry Nelson
Leo Penn
Alan King
Louie Anderson
Pinky Lee
George Lopez
William Devane
Lukas Haas
Leon Ames
Robert Schwartzman
David Lochary
Julian Eltinge
Martin Ritt
Oliver Platt
Elliott Gould
Robert Guillaume
Gilbert Gottfried
Mario Lanza
Alan Ruck
Billy Barty
Greg Grunberg
Josh Saviano
Tim Meadows
Peter Krause
John Waters
Forest Whitaker
Clarence Gilyard
Efrem Zimbalist Jr.
Alvy Moore
Tom Lester
Richard Kiel
Wilfred Lucas
Garry Shandling
Tom Moore
Owen Moore
Matt Moore
